Publisher,Genres,App_Name,Release_Date,Id,Developer
Blazing Griffin Ltd.,"['Action', 'Indie', 'RPG']",The Ship: Single Player,2006-11-20,2420,Outerlight Ltd.
Valve,"['Indie', 'Simulation']",Garry's Mod,2006-11-29,4000,Facepunch Studios
SimBin,['Racing'],RACE - The WTCC Game,2006-11-24,4230,SimBin
Unknown Worlds Entertainment,"['Casual', 'Indie']",Zen of Sudoku,2006-12-14,4900,Unknown Worlds Entertainment
"CINEMAX, s.r.o.","['Casual', 'Indie']",Gumboy - Crazy Adventures™,2006-12-19,2520,"CINEMAX, s.r.o."
Strategy First,['Strategy'],Ghost Master®,2003-08-23,6200,Sick Puppies
Strategy First,['Strategy'],Vegas: Make It Big™,2006-12-21,6210,Deepred
Funcom,"['Adventure', 'RPG']",Dreamfall: The Longest Journey,2006-04-17,6300,Funcom
Strategy First,['Racing'],FlatOut 2™,2006-08-01,2990,Bugbear Entertainment
Strategy First,['Racing'],FlatOut,2005-07-12,6220,Bugbear Entertainment
Capcom,"['Action', 'Adventure']",Lost Planet™: Extreme Condition,2007-06-26,6510,"CAPCOM Co., Ltd."
2K Games,['Strategy'],CivCity: Rome,2006-07-24,3980,"FireFly Studios,Firaxis Games"
Arkane Studios,['RPG'],Arx Fatalis,2002-11-12,1700,Arkane Studios
Funcom,"['Action', 'Adventure', 'RPG']",The Longest Journey,2000-11-17,6310,Funcom
2K Games,['Strategy'],Civilization IV®: Warlords,2006-07-24,3990,Firaxis Games
2K Games,['Strategy'],Railroad Tycoon 3,2003-10-23,7610,PopTop
"2K Games, Feral Interactive (Mac)",['Strategy'],Sid Meier's Railroads!,2006-10-16,7600,"Firaxis Games,Feral Interactive (Mac)"
,,,,,
2K Games,['Strategy'],Railroad Tycoon II Platinum,1998-10-31,7620,PopTop
,"['Casual', 'Indie']",RIP - Trilogy™,2007-06-01,2540,Elephant Games
2K Games,['Strategy'],X-COM: Terror From the Deep,1995-04-01,7650,"MicroProse Software, Inc"
"Square Enix, Feral Interactive (Mac)","['Action', 'Adventure']",Tomb Raider: Anniversary,2007-06-05,8000,"Crystal Dynamics,Feral Interactive (Mac)"
Capcom,['Action'],Devil May Cry® 3 Special Edition,2006-05-23,6550,"CAPCOM Co., Ltd."
Telltale Games,"['Action', 'Adventure']",Sam & Max 101: Culture Shock,2006-10-17,8200,Telltale Games
id Software,['Action'],Final DOOM,1996-06-17,2290,id Software
,"['Indie', 'RPG']",Vigil: Blood Bitterness™,2007-06-29,2570,Freegamer
Telltale Games,"['Action', 'Adventure']",Sam & Max 102: Situation: Comedy,2006-12-20,8210,Telltale Games
id Software,['Action'],Ultimate Doom,1995-04-30,2280,id Software
id Software,['Action'],Master Levels for Doom II,1995-06-01,9160,id Software
id Software,['Action'],DOOM II,1994-05-05,2300,id Software
id Software,['Action'],Wolfenstein 3D,1994-08-03,2270,id Software
id Software,['Action'],Return to Castle Wolfenstein,2001-11-20,9010,Gray Matter Studios
id Software,['Action'],QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,9040,Ritual Entertainment
id Software,['Action'],Spear of Destiny,1993-10-10,9000,id Software
Majesco,['Action'],BloodRayne,2003-09-09,3810,Terminal Reality
id Software,['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,9030,Rogue Entertainment
id Software,['Action'],QUAKE,2007-05-31,2310,id Software
THQ Nordic,['Strategy'],Genesis Rising,2007-03-20,3230,Metamorf
SEGA,['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,9310,Relic Entertainment
2K Games,"['Action', 'RPG']",BioShock™,2007-08-21,7670,"2K Boston,2K Australia"
SEGA,['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,4570,Relic Entertainment
SEGA,['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,4580,Relic Entertainment
SEGA,['Strategy'],Rome: Total War™ - Collection,2004-09-22,4760,The Creative Assembly
SEGA,['Strategy'],Rome: Total War™ - Alexander,2006-06-26,4770,The Creative Assembly
Big Fish Games,['Casual'],Mystery Case Files: Madame Fate®,2007-12-14,50970,Big Fish Games
Rockstar Games,['Action'],Grand Theft Auto,1998-06-30,12170,Rockstar North
Rockstar Games,['Action'],Grand Theft Auto 2,1999-10-25,12180,Rockstar North
Rockstar Games,['Action'],Manhunt,2004-04-20,12130,Rockstar North
Rockstar Games,['Racing'],Midnight Club 2,2003-07-01,12160,Rockstar San Diego
Rockstar Games,['Action'],Max Payne 2: The Fall of Max Payne,2003-10-14,12150,Remedy Entertainment
Square Enix,"['Action', 'Adventure']",Tomb Raider: Legend,2006-04-07,7000,Crystal Dynamics
Rockstar Games,['Action'],Max Payne,2001-07-25,12140,Remedy Entertainment
Electronic Arts,['Strategy'],Command & Conquer: Red Alert 3,2008-10-28,17480,EA Los Angeles
"D3Publisher of America, Inc.",['Casual'],PuzzleQuest: Challenge of the Warlords,2007-10-10,12500,Infinite Interactive
Strategy First,"['RPG', 'Casual', 'Adventure']",Culpa Innata,2007-10-23,12310,Momentum Digital Media Technologies
"ValuSoft, Retroism",['Strategy'],Prison Tycoon 3™: Lockdown,2007-08-01,12510,"Gamebryo,Virtual Playground"
"ValuSoft, Retroism","['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,2007-09-01,12530,SCS Software
"ValuSoft, Retroism",['Racing'],18 Wheels of Steel: American Long Haul,2007-12-03,12520,SCS Software
Square Enix,['Action'],Conflict: Denied Ops,2008-02-08,8100,Pivotal Games
Bohemia Interactive,['Action'],ARMA: Combat Operations,2007-05-08,2780,Bohemia Interactive
Retroism,['Simulation'],Tycoon City: New York,2006-02-21,9730,
THQ Nordic,['Action'],Desperados 2: Cooper's Revenge,2006-05-02,9710,Spellbound
1C Company,"['Action', 'Adventure']",Death to Spies,2007-10-16,9800,Haggard Games
Atari,['Action'],Act of War: High Treason,2006-05-30,9760,Eugen Systems
"Atari, Aspyr (Mac)","['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,2006-10-26,2700,"Frontier,Aspyr (Mac)"
Atari,['Action'],Act of War: Direct Action,2005-03-14,2710,Eugen Systems
"Epic Games, Inc.",['Action'],Unreal 2: The Awakening,2003-02-03,13200,"Epic Games, Inc."
"Epic Games, Inc.",['Action'],Unreal Gold,1998-04-30,13250,"Epic Games, Inc."
Nunchuck Games,"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,2008-03-21,13000,Sanzaru Games
Ubisoft,['Action'],Tom Clancy's Splinter Cell®,2003-02-18,13560,Ubisoft
Ubisoft,['Action'],Far Cry®,2004-03-23,13520,Crytek Studios
"Epic Games, Inc.",['Action'],Unreal Tournament: Game of the Year Edition,2000-10-25,13240,"Epic Games, Inc."
Ubisoft,['Action'],Tom Clancy's Rainbow Six® Vegas,2006-12-12,13540,Ubisoft Montreal
Ubisoft,['Simulation'],Silent Hunter® III,2005-03-15,15210,Ubisoft
Last Day of Work,"['Casual', 'Simulation']",Virtual Villagers - The Secret City,2008-05-28,16180,Last Day of Work
"PopCap Games, Inc.",['Casual'],Mystery P.I.™ - The Vegas Heist,2008-06-04,3520,SpinTop Games
MumboJumbo,['Casual'],Luxor,2008-06-10,15970,MumboJumbo
MumboJumbo,['Casual'],Reaxxion,2008-06-10,15950,MumboJumbo
MumboJumbo,['Casual'],Little Farm,2008-06-10,15960,MumboJumbo
MumboJumbo,['Casual'],7 Wonders II,2008-06-10,15900,MumboJumbo
MumboJumbo,['Casual'],Luxor Amun Rising,2005-12-08,15910,MumboJumbo
MumboJumbo,['Casual'],Luxor 3,2007-11-13,15930,MumboJumbo
Ubisoft,['Simulation'],Petz® Horsez® 2,2007-11-13,15160,Ubisoft
MumboJumbo,['Casual'],Luxor 2,2005-12-08,15920,MumboJumbo
Ubisoft,"['Action', 'Adventure']",Rayman Raving Rabbids™,2007-03-27,15080,"Ubisoft Bulgaria,Ubisoft Montpellier"
Ubisoft,['Simulation'],Silent Hunter®: Wolves of the Pacific,2007-03-20,15200,Ubisoft Romania
1C Online Games,['Simulation'],IL-2 Sturmovik: 1946,2006-12-15,15320,1C: Maddox Games
Ubisoft,['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,15240,Ubisoft Romania
Telltale Games,['Adventure'],Bone: Out From Boneville,2005-09-15,8310,Telltale Games
"ValuSoft, Retroism",['Racing'],Midnight Outlaw: 6 Hours to SunUp,2005-07-02,12600,"Merscom,Babylon"
Telltale Games,['Adventure'],Bone: The Great Cow Race,2006-04-12,8320,Telltale Games
"ValuSoft, Retroism",['Racing'],Sprint Cars Road to Knoxville,2008-07-29,12590,BigAnt Studios
ValuSoft,['Casual'],Dr. Daisy Pet Vet,2008-01-08,12580,Zemnott
"ValuSoft, Retroism",['Simulation'],Ride! Carnival Tycoon,2007-07-02,12560,Gabriel Entertainment
ValuSoft,['Casual'],Hot Dish,2008-01-12,12570,Zemnott
"ValuSoft, Retroism",['Casual'],Mahjongg Investigations: Under Suspicion,2007-08-08,12540,Zemnott
Frogwares,['Adventure'],Dracula Origin,2008-05-20,11050,Frogwares
SEGA,['Sports'],Beijing 2008™ - The Official Video Game of the Olympic Games,2008-07-08,10520,Eurocom
Frogwares,"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,2008-04-14,11040,Frogwares
Silver Sphere Studios,"['Adventure', 'Indie']",Eternity's Child,2008-07-31,19500,"Luc Bernard,SilverSphereStudios"
Buka Entertainment,"['Simulation', 'Strategy']",Pacific Storm Allies,2007-05-25,11260,Lesta Studio
Meridian4,"['Action', 'Indie']",Tank Universal,2008-08-21,19200,Dialogue Design
Strategy First,['Racing'],FlatOut: Ultimate Carnage,2008-08-19,12360,Bugbear Entertainment
Oddworld Inhabitants,['Adventure'],Oddworld: Abe's Exoddus®,1998-11-17,15710,Oddworld Inhabitants
Oddworld Inhabitants,['Adventure'],Oddworld: Abe's Oddysee®,1997-12-12,15700,Oddworld Inhabitants
SimBin,['Racing'],GTR Evolution Expansion Pack for RACE 07,2008-09-01,8660,SimBin
2K Games,['Strategy'],X-COM: Enforcer,2001-04-19,7770,"MicroProse Software, Inc"
2K Games,['Strategy'],X-COM: Apocalypse,1997-07-15,7660,"MicroProse Software, Inc"
2K Games,['Strategy'],X-COM: UFO Defense,1993-12-31,7760,"MicroProse Software, Inc"
GSC World Publishing,"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,2008-09-15,20510,GSC Game World
Electronic Arts,['Action'],Crysis Warhead®,2008-09-17,17330,Crytek
Electronic Arts,['Action'],Crysis,2007-11-13,17300,Crytek
2K Games,['Strategy'],X-COM: Interceptor,1998-06-15,7730,"MicroProse Software, Inc"
"CD PROJEKT RED, 1C-SoftClub","['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,2008-09-16,20900,CD PROJEKT RED
Introversion Software,['Indie'],Multiwinia,2008-09-19,1530,Introversion Software
SimBin,['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,8690,SimBin
"Tilted Mill Entertainment, Inc.","['Strategy', 'Simulation']",Children of the Nile: Alexandria,2008-08-28,17120,"Tilted Mill Entertainment, Inc."
2K Games,['Strategy'],Sid Meier's Civilization IV: Colonization,2008-09-23,16810,Firaxis Games
Ubisoft,['Action'],Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,19830,"Red Storm Entertainment,Ubisoft Montreal"
Warner Bros. Interactive Entertainment,"['Action', 'Adventure']",LEGO Batman,2008-09-29,21000,Traveller's Tales
Focus Home Interactive,"['Simulation', 'Strategy']",City Life 2008,2008-07-18,4460,Monte Cristo
"Tilted Mill Entertainment, Inc.","['RPG', 'Strategy']",Hinterland,2008-09-30,17140,"Tilted Mill Entertainment, Inc."
Ubisoft,['Action'],Brothers in Arms: Hell's Highway™,2008-10-08,15390,Gearbox Software
Dark Castle Software,"['Indie', 'Casual']",Gravitron 2,2008-08-31,21300,Dark Castle Software
Techland,['Racing'],Xpand Rally Xtreme,2006-12-01,3050,Techland
Ubisoft,['Strategy'],Heroes of Might & Magic V: Hammers of Fate,2006-11-14,15380,Nival
Ubisoft,['Action'],Brothers in Arms: Earned in Blood™,2005-10-04,19800,Gearbox Software
Ubisoft,['Strategy'],Heroes of Might & Magic V: Tribes of the East,2007-10-16,15370,Nival
Ubisoft,['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,19930,Blue Byte
Ubisoft,['Casual'],Brain Spa,2007-09-25,15350,Ubisoft
Ubisoft,['Action'],The Sum of All Fears,2002-05-31,19810,Red Storm Entertainment
"PopCap Games, Inc.",['Casual'],Peggle™ Nights,2008-10-15,3540,"PopCap Games, Inc."
2D BOY,['Indie'],World of Goo,2008-10-13,22000,2D BOY
Egosoft,"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,2008-10-16,2820,Egosoft
Tripwire Interactive,['Action'],Mare Nostrum,2008-10-17,1230,Sandstorm Productions
Shorebound Studios,"['Casual', 'Indie']",Spectraball,2008-10-20,18300,Shorebound Studios
Perpetual FX Creative,"['Indie', 'Casual', 'Sports']",Galactic Bowling,2008-10-21,20200,Perpetual FX Creative
Rockstar Games,"['Action', 'Adventure']",Bully: Scholarship Edition,2008-10-21,12200,Rockstar New England
Ubisoft,['Action'],Far Cry® 2: Fortune's Edition,2008-10-22,19900,Ubisoft Montreal
Meridian4,"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,2008-10-23,11240,Meridian4
Dovetail Games,['Simulation'],PRR Wagon Pack 01,2009-01-01,256522,RailSimulator.com
Dovetail Games,['Simulation'],"Class 421 London South East ""Jaffa Cake""",2009-01-01,275144,RailSimulator.com
Dovetail Games,['Simulation'],ATSF Wagon Pack 01,2009-01-01,256521,RailSimulator.com
Dovetail Games,['Simulation'],GP20 Union Pacific Add-on Livery,2009-01-01,222569,Reppo
Dovetail Games,['Simulation'],UK Van Wagon Pack,2009-01-01,256535,RailSimulator.com
Dovetail Games,['Simulation'],CSX SD70MAC Add-on Livery,2009-01-01,256611,Dovetail Games
Dovetail Games,['Simulation'],CSX ES44AC Add-on Livery,2009-01-01,256576,Dovetail Games
Deep Silver,['Action'],Saints Row 2,2009-01-28,9480,Volition
Electronic Arts,['Action'],Dead Space,2008-10-20,17470,EA Redwood Shores
Codemasters,['RPG'],Rise of the Argonauts,2008-12-16,12770,Liquid Entertainment
Electronic Arts,"['Action', 'Adventure']",Mirror's Edge™,2009-01-13,17410,DICE
Hidden Path Entertainment,"['Indie', 'Strategy']",Defense Grid: The Awakening,2008-12-08,18500,Hidden Path Entertainment
Warner Bros. Interactive Entertainment,['Action'],F.E.A.R. 2: Project Origin,2009-02-12,16450,Monolith
Oxeye Game Studio,"['Strategy', 'Indie']",Harvest: Massive Encounter,2008-03-05,15400,Oxeye Game Studio
Inventive Dingo,"['Indie', 'Strategy']",Mayhem Intergalactic,2007-07-04,18600,Inventive Dingo
Meridian4,"['Action', 'Indie']",Larva Mortus,2009-03-19,11340,Meridian4
Paradox Interactive,['Strategy'],Knights of Honor,2005-05-10,25830,Black Sea Studios Ltd
Assemble Entertainment,"['Action', 'Adventure', 'Strategy']",Ceville,2009-02-27,23460,Realmforge Studios
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",['Strategy'],Empire: Total War™ - Special Forces Units & Bonus Content,2009-03-04,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
Warner Bros. Interactive Entertainment,['Action'],Watchmen: The End is Nigh,2009-03-04,21010,Deadline Games
Frictional Games,"['Action', 'Adventure', 'Indie']",Penumbra Overture,2007-03-30,22180,Frictional Games
"Epic Games, Inc.",['Action'],Unreal Tournament 3 Black,2007-11-19,13210,"Epic Games, Inc."
DTP Entertainment,['RPG'],Drakensang,2009-02-27,12640,Radon Labs
Capcom,"['Casual', 'Strategy']",Age of Booty™,2009-03-09,21600,Certain Affinity™
Tale of Tales,"['Indie', 'Simulation']",The Graveyard,2008-03-21,27020,Tale of Tales
Electronic Arts,['Racing'],Burnout Paradise: The Ultimate Box,2009-02-03,24740,Criterion Games
,['Action'],Zombie Master,2009-03-11,90047,Zombie Master Team
Twisted Pixel Games,"['Action', 'Indie']",The Maw,2009-03-09,26000,Twisted Pixel Games
Twisted Pixel Games,"['Action', 'Indie']",The Maw: River Redirect,2009-03-16,26006,Twisted Pixel Games
Twisted Pixel Games,"['Action', 'Indie']",The Maw: Brute Force,2009-03-16,26005,Twisted Pixel Games
Meridian4,"['Casual', 'Indie']",Obulis,2009-03-19,11330,IonFX
Llamasoft LTD,['Indie'],Space Giraffe,2009-03-19,27800,Llamasoft LTD
THQ Nordic,"['Simulation', 'Strategy']",Codename: Panzers - Cold War,2009-03-10,9850,"InnoGlow,Stormregion,THQ Nordic"
"PopCap Games, Inc.",['Casual'],Escape Rosecliff Island,2009-04-15,3600,SpinTop Games
NCsoft,"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall,2006-10-27,29580,ArenaNet®
NCsoft,"['RPG', 'Massively Multiplayer']",Guild Wars,2005-04-28,29540,ArenaNet®
NCsoft,"['RPG', 'Massively Multiplayer']",Guild Wars Factions,2006-04-28,29560,ArenaNet®
NCsoft,"['Massively Multiplayer', 'RPG']",Guild Wars Trilogy,2008-09-25,29570,ArenaNet®
Strategy First,['Casual'],Puzzle Kingdoms,2009-04-16,23700,Infinite Interactive
MumboJumbo,['Casual'],Samantha Swift and the Golden Touch,2009-04-29,16060,MumboJumbo
Topware Interactive,['RPG'],Two Worlds Epic Edition,2009-04-30,1930,Reality Pump Studios
"Black Forest Games, THQ Nordic",['Strategy'],Helldorado,2009-04-30,18470,Spellbound
Topware Interactive,"['Action', 'Adventure', 'RPG']",X-Blades,2009-02-10,7510,Gaijin Entertainment
ACE Team,"['Action', 'Indie']",Zeno Clash,2009-04-21,22200,ACE Team
Twisted Pixel Games,['Indie'],The Maw: Speeder Lane,2009-04-29,26007,Twisted Pixel Games
1C Company,"['RPG', 'Strategy']",King's Bounty: The Legend,2008-09-23,25900,1C Company
Last Day of Work,"['Casual', 'Simulation']",Virtual Families,2009-05-06,16200,Last Day of Work
1C Company,['Racing'],Death Track®: Resurrection,2009-05-06,7840,Sky Fallen
2K Games,"['RPG', 'Strategy']",Freedom Force vs. the Third Reich,2005-03-08,8890,Irrational Games
2K Games,"['RPG', 'Strategy']",Freedom Force,2002-03-26,8880,Irrational Games
SaintXi,"['Indie', 'Simulation', 'Strategy']",Light of Altair,2009-06-04,34500,SaintXi
Darklight Games,"['Action', 'Simulation']",Darkest Hour: Europe '44-'45,2009-06-09,1280,Darklight Games
Activision,"['Action', 'Adventure']",Prototype™,2009-06-10,10150,Radical Entertainment
Erik Svedäng,"['Adventure', 'Indie']",Blueberry Garden,Jun 2009,29160,Erik Svedäng
Strategy First,['Strategy'],Port Royale 2,2004-04-30,12470,Ascaron Entertainment ltd.
Bethesda Softworks,"['Horror', 'Lovecraftian', 'Survival Horror', 'First-Person', 'Based On A Novel', 'FPS', 'Adventure', 'Atmospheric', 'Stealth', 'Singleplayer', 'Story Rich', 'Action', 'Classic', 'Survival', 'Shooter', 'Difficult', 'Gore', 'Dark']",Call of Cthulhu®: Dark Corners of the Earth,2006-04-26,22340,Headfirst Productions
Bethesda Softworks,['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,22330,Bethesda Game Studios
Bethesda Softworks,['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,22320,Bethesda Game Studios
Bethesda Softworks,"['Open World', 'RPG', 'Fantasy', 'Singleplayer', 'Moddable', 'First-Person', 'Exploration', 'Adventure', 'Great Soundtrack', 'Action', 'Magic', 'Sandbox', 'Character Customization', 'Atmospheric', 'Story Rich', 'Medieval', 'Action RPG', 'Classic', 'Third Person', 'Dark Fantasy']",The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,2009-06-16,900883,Bethesda Game Studios®
Strategy First,['Adventure'],Ankh 2: Heart of Osiris,2007-05-18,12440,Deck 13
"NovaLogic, THQ Nordic",['Simulation'],Armored Fist 3,1999-09-01,32710,NovaLogic
"NovaLogic, THQ Nordic",['Simulation'],MiG-29 Fulcrum,1998-09-07,32740,NovaLogic
Strategy First,['Strategy'],BC Kings,2008-09-15,12460,Mascot Entertainment
Ubisoft,['Action'],Call of Juarez®: Bound in Blood,2009-06-30,21980,Techland
HeR Interactive,['Adventure'],Nancy Drew®: Legend of the Crystal Skull,2007-10-01,31860,HeR Interactive
HeR Interactive,['Adventure'],Nancy Drew®: The Creature of Kapu Cave,2006-10-01,31900,HeR Interactive
HeR Interactive,['Adventure'],Nancy Drew®: The Phantom of Venice,2008-07-01,31920,HeR Interactive
HeR Interactive,['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,31930,HeR Interactive
Digital Eel,"['Casual', 'Indie']",BRAINPIPE: A Plunge to Unhumanity,2008-12-24,35800,Digital Eel
"ValuSoft, Retroism","['Simulation', 'Sports']",Hunting Unlimited 2010,2009-07-07,12690,
Telltale Games,['Adventure'],Tales of Monkey Island Complete Pack,2009-07-07,31170,Telltale Games
Capcom,['Action'],Street Fighter® IV,2009-07-07,21660,Capcom
LucasArts,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Thrillville®: Off the Rails™,2007-10-09,6080,Frontier
